alpha,count
1,4
2,8
3,17
4,23
5,28
6,60
7,67
8,96
9,133
10,156
11,156
12,200
13,235
14,275
15,310
16,364
17,396
18,472
19,465
20,509
21,587
22,622
23,654
24,699
25,729
26,780
27,825
28,863
29,849
30,976
31,983
32,1004
33,973
34,1045
35,1121
36,1123
37,1152
38,1154
39,1254
40,1179
41,1239
42,1221
43,1292
44,1254
45,1220
46,1259
47,1210
48,1209
49,1242
50,1233
51,1164
52,1158
53,1147
54,1086
55,1094
56,1061
57,1049
58,1037
59,978
60,975
61,866
62,901
63,770
64,756
65,797
66,692
67,644
68,579
69,616
70,476
71,495
72,414
73,393
74,377
75,333
76,265
77,247
78,193
79,172
80,132
81,125
82,102
83,79
84,48
85,44
86,30
87,13
88,10
89,1
90,0
91,2
92,5
93,9
94,17
95,37
96,47
97,81
98,84
99,130
100,155
101,187
102,215
103,225
104,271
105,279
106,329
107,398
108,483
109,473
110,555
111,541
112,628
113,650
114,674
115,756
116,801
117,818
118,899
119,884
120,955
121,993
122,1030
123,1022
124,1107
125,1106
126,1192
127,1187
128,1137
129,1187
130,1181
131,1256
132,1235
133,1265
134,1254
135,1262
136,1278
137,1220
138,1177
139,1185
140,1169
141,1168
142,1131
143,1162
144,1150
145,1082
146,1060
147,1080
148,992
149,965
150,949
151,882
152,842
153,832
154,739
155,741
156,684
157,662
158,618
159,562
160,488
161,495
162,426
163,407
164,330
165,325
166,263
167,221
168,217
169,171
170,134
171,152
172,89
173,62
174,58
175,37
176,23
177,14
178,8
179,2
180,0
